episode,reward,steps
1,1.0,16
2,1.0,21
3,1.0,4
4,1.0,4
5,1.0,12
6,1.0,4
7,1.0,12
8,1.0,8
9,1.0,4
10,1.0,4
11,1.0,8
12,1.0,8
13,1.0,4
14,1.0,8
15,1.0,8
16,1.0,4
17,1.0,12
18,1.0,4
19,1.0,8
20,1.0,4
21,1.0,12
22,1.0,8
23,1.0,4
24,1.0,8
25,1.0,4
26,1.0,4
27,1.0,4
28,1.0,4
29,1.0,16
30,1.0,12
31,1.0,4
32,1.0,8
33,1.0,4
34,1.0,16
35,1.0,12
36,1.0,8
37,1.0,4
38,1.0,4
39,1.0,4
40,1.0,4
41,1.0,4
42,1.0,4
43,1.0,4
44,1.0,4
45,1.0,8
46,1.0,4
47,1.0,8
48,1.0,12
49,1.0,16
50,1.0,4
51,1.0,8
52,1.0,8
53,1.0,4
54,1.0,9
55,1.0,4
56,1.0,8
57,1.0,4
58,1.0,4
59,1.0,4
60,1.0,8
61,1.0,4
62,1.0,8
63,1.0,4
64,1.0,8
65,1.0,12
66,1.0,4
67,1.0,12
68,1.0,20
69,1.0,4
70,1.0,8
71,1.0,12
72,1.0,4
73,1.0,8
74,1.0,8
75,1.0,36
76,1.0,4
77,1.0,8
78,1.0,4
79,1.0,12
80,1.0,4
81,1.0,8
82,1.0,4
83,1.0,4
84,1.0,4
85,1.0,8
86,1.0,4
87,1.0,4
88,1.0,24
89,1.0,4
90,1.0,8
91,1.0,12
92,1.0,12
93,1.0,4
94,1.0,8
95,1.0,12
96,1.0,4
97,1.0,8
98,1.0,8
99,1.0,8
100,1.0,12
101,1.0,4
102,1.0,4
103,1.0,4
104,1.0,4
105,1.0,8
106,1.0,24
107,1.0,8
108,1.0,4
109,1.0,4
110,1.0,4
111,1.0,4
112,1.0,4
113,1.0,4
114,1.0,16
115,1.0,4
116,1.0,8
117,1.0,4
118,1.0,4
119,1.0,16
120,1.0,4
121,1.0,4
122,1.0,4
123,1.0,8
124,1.0,8
125,1.0,28
126,1.0,4
127,1.0,8
128,1.0,4
129,1.0,8
130,1.0,4
131,1.0,4
132,1.0,16
133,1.0,8
134,1.0,12
135,1.0,4
136,1.0,16
137,1.0,16
138,1.0,8
139,1.0,4
140,1.0,4
141,1.0,8
142,1.0,4
143,1.0,4
144,1.0,16
145,1.0,24
146,1.0,4
147,1.0,4
148,1.0,4
149,1.0,4
150,1.0,16
151,1.0,16
152,1.0,12
153,1.0,12
154,1.0,8
155,1.0,12
156,1.0,4
157,1.0,12
158,1.0,4
159,1.0,8
160,1.0,4
161,1.0,4
162,1.0,16
163,1.0,8
164,1.0,20
165,1.0,8
166,1.0,8
167,1.0,4
168,1.0,4
169,1.0,4
170,1.0,4
171,1.0,24
172,1.0,12
173,1.0,8
174,1.0,8
175,1.0,4
176,1.0,4
177,1.0,12
178,1.0,8
179,1.0,8
180,1.0,16
181,1.0,4
182,1.0,8
183,1.0,8
184,1.0,12
185,1.0,8
186,1.0,4
187,1.0,8
188,1.0,8
189,1.0,4
190,1.0,8
191,1.0,8
192,1.0,4
193,1.0,4
194,1.0,8
195,1.0,4
196,1.0,4
197,1.0,12
198,1.0,8
199,1.0,8
200,1.0,4
201,1.0,4
202,1.0,8
203,1.0,20
204,1.0,4
205,1.0,12
