episode,reward,steps
1,-1.0,38
2,-1.0,18
3,1.0,24
4,1.0,16
5,1.0,24
6,1.0,32
7,-1.0,10
8,-1.0,18
9,-1.0,26
10,1.0,20
11,1.0,4
12,1.0,56
13,-1.0,22
14,-1.0,22
15,-1.0,26
16,1.0,28
17,1.0,4
18,1.0,12
19,1.0,28
20,1.0,4
21,1.0,8
22,1.0,36
23,-1.0,6
24,-1.0,26
25,1.0,28
26,1.0,8
27,-1.0,34
28,1.0,20
29,1.0,12
30,1.0,36
31,1.0,16
32,1.0,16
33,1.0,4
34,-1.0,6
35,1.0,8
36,1.0,12
37,1.0,4
38,1.0,16
39,1.0,16
40,1.0,12
41,1.0,36
42,-1.0,30
43,1.0,8
44,-1.0,6
45,-1.0,22
46,1.0,8
47,1.0,20
48,1.0,16
49,-1.0,30
50,1.0,4
51,1.0,20
52,-1.0,14
53,1.0,12
54,1.0,12
55,1.0,20
56,-1.0,6
57,1.0,12
58,1.0,24
59,1.0,8
60,1.0,8
61,1.0,12
62,1.0,4
63,1.0,24
64,1.0,28
65,1.0,12
66,-1.0,18
67,1.0,4
68,-1.0,14
69,1.0,12
70,1.0,12
71,1.0,24
72,1.0,4
73,-1.0,6
74,-1.0,26
75,1.0,20
76,-1.0,18
77,-1.0,14
78,-1.0,26
79,1.0,16
80,1.0,24
81,1.0,16
82,1.0,8
83,1.0,4
84,-1.0,10
85,1.0,4
86,-1.0,30
87,1.0,28
88,-1.0,10
89,-1.0,26
90,-1.0,10
91,1.0,12
92,1.0,12
93,1.0,20
94,1.0,4
95,1.0,8
96,1.0,12
97,1.0,16
98,1.0,4
99,1.0,4
100,1.0,4
101,-1.0,10
102,1.0,16
103,1.0,4
104,1.0,20
105,1.0,16
106,-1.0,6
107,-1.0,18
108,-1.0,6
109,1.0,4
110,1.0,4
111,1.0,16
112,-1.0,42
113,-1.0,22
114,1.0,8
115,1.0,24
116,-1.0,14
117,1.0,4
118,-1.0,10
119,1.0,16
120,1.0,12
121,-1.0,22
122,-1.0,30
123,1.0,8
124,-1.0,26
125,1.0,16
126,1.0,8
127,1.0,20
128,1.0,8
129,1.0,16
130,1.0,16
131,1.0,4
132,1.0,20
133,1.0,4
134,-1.0,14
135,-1.0,6
136,-1.0,18
137,-1.0,26
138,1.0,8
139,1.0,36
140,-1.0,10
141,1.0,12
142,1.0,8
143,1.0,4
144,1.0,16
145,1.0,12
146,1.0,4
147,1.0,8
148,-1.0,6
149,-1.0,18
150,1.0,40
151,1.0,4
152,1.0,4
153,-1.0,38
154,1.0,8
155,1.0,16
156,1.0,12
157,1.0,36
158,-1.0,70
159,1.0,12
160,-1.0,22
161,1.0,12
162,1.0,16
163,1.0,12
164,-1.0,46
165,1.0,16
166,1.0,4
167,1.0,8
168,1.0,12
169,1.0,20
170,-1.0,14
171,1.0,16
172,-1.0,42
173,1.0,4
174,1.0,4
175,-1.0,10
176,1.0,12
177,-1.0,6
178,1.0,12
179,1.0,16
180,1.0,4
181,-1.0,26
182,1.0,40
183,1.0,4
184,1.0,16
185,-1.0,22
186,1.0,8
187,1.0,4
188,1.0,4
189,1.0,4
190,1.0,4
191,-1.0,6
192,1.0,20
193,1.0,4
194,1.0,8
195,1.0,4
196,-1.0,22
197,1.0,28
198,-1.0,14
199,1.0,8
200,1.0,8
201,1.0,4
202,1.0,12
203,1.0,16
204,-1.0,10
205,-1.0,22
206,1.0,32
207,1.0,4
208,1.0,12
209,1.0,24
210,-1.0,14
211,1.0,24
212,1.0,4
213,1.0,12
214,1.0,4
215,1.0,4
216,1.0,8
217,-1.0,10
218,1.0,4
219,-1.0,30
220,1.0,4
221,-1.0,6
222,1.0,4
223,1.0,16
224,1.0,20
225,1.0,20
226,1.0,8
227,-1.0,18
228,1.0,20
229,-1.0,10
230,1.0,4
231,1.0,4
232,-1.0,42
233,1.0,12
234,1.0,20
235,1.0,4
236,-1.0,10
237,1.0,4
238,-1.0,6
239,-1.0,10
240,-1.0,38
241,1.0,8
242,1.0,24
243,1.0,4
244,-1.0,34
245,1.0,4
246,1.0,20
247,1.0,12
248,1.0,4
249,-1.0,30
250,1.0,4
251,1.0,16
252,-1.0,6
253,1.0,24
254,1.0,8
255,1.0,12
256,1.0,4
257,1.0,12
258,-1.0,18
259,1.0,16
260,1.0,4
261,1.0,4
262,1.0,12
263,1.0,4
264,1.0,16
265,1.0,4
266,1.0,8
267,-1.0,10
268,-1.0,10
269,1.0,4
270,1.0,12
271,1.0,40
272,1.0,8
273,1.0,12
274,1.0,28
275,1.0,12
276,-1.0,22
277,1.0,4
278,-1.0,10
279,1.0,4
280,1.0,4
281,1.0,8
282,1.0,16
283,-1.0,6
284,1.0,8
285,1.0,20
286,1.0,8
287,1.0,8
288,1.0,24
289,1.0,36
290,-1.0,10
291,1.0,36
292,1.0,4
293,1.0,8
294,1.0,20
295,-1.0,14
296,1.0,44
297,1.0,12
298,1.0,12
299,1.0,28
300,1.0,12
301,-1.0,30
302,1.0,12
303,1.0,4
304,1.0,4
305,1.0,24
306,1.0,4
307,-1.0,10
308,1.0,12
309,1.0,4
310,1.0,20
311,1.0,8
312,-1.0,6
313,1.0,12
314,-1.0,26
315,1.0,8
316,1.0,24
317,1.0,40
318,1.0,24
319,1.0,20
320,-1.0,6
321,1.0,12
322,-1.0,26
323,1.0,20
324,1.0,20
325,-1.0,10
326,1.0,16
327,1.0,4
328,1.0,12
329,-1.0,10
330,-1.0,10
331,1.0,4
332,1.0,16
333,-1.0,6
334,1.0,8
335,-1.0,14
336,1.0,8
337,1.0,16
338,1.0,8
339,1.0,8
340,-1.0,14
341,1.0,24
342,1.0,12
343,1.0,8
344,1.0,28
345,1.0,12
346,-1.0,22
347,1.0,8
348,1.0,16
349,1.0,12
350,1.0,8
351,1.0,12
352,1.0,28
353,1.0,12
354,1.0,20
355,1.0,8
356,1.0,4
357,1.0,4
358,-1.0,10
359,-1.0,10
360,-1.0,6
361,1.0,8
362,1.0,8
363,1.0,4
364,-1.0,18
365,-1.0,10
366,1.0,8
367,1.0,8
368,1.0,8
369,1.0,4
370,-1.0,10
371,1.0,24
372,1.0,12
373,1.0,8
374,1.0,4
375,-1.0,6
376,1.0,8
377,1.0,12
378,-1.0,10
379,1.0,8
380,1.0,24
381,1.0,20
382,1.0,4
383,1.0,24
384,1.0,8
385,1.0,12
386,1.0,24
387,1.0,24
388,-1.0,14
389,1.0,8
390,1.0,12
391,1.0,12
392,-1.0,6
393,1.0,20
394,1.0,4
395,-1.0,6
396,1.0,8
397,1.0,4
398,1.0,4
399,1.0,16
400,1.0,4
401,-1.0,26
402,-1.0,14
403,1.0,4
404,1.0,16
405,-1.0,14
406,1.0,20
407,-1.0,10
408,-1.0,10
409,1.0,4
410,1.0,8
411,1.0,12
412,1.0,24
413,-1.0,14
414,1.0,4
415,-1.0,42
416,1.0,12
417,1.0,12
418,-1.0,10
419,-1.0,10
420,1.0,12
421,1.0,8
422,1.0,32
423,1.0,16
424,1.0,20
425,1.0,4
426,1.0,12
427,-1.0,30
428,-1.0,22
429,1.0,12
430,1.0,4
431,1.0,16
432,-1.0,10
433,1.0,24
434,1.0,16
435,1.0,4
436,-1.0,14
437,1.0,4
438,1.0,12
439,1.0,8
440,1.0,8
441,1.0,8
442,-1.0,6
443,1.0,8
444,-1.0,10
445,1.0,32
446,1.0,8
447,1.0,24
448,1.0,32
449,1.0,8
450,1.0,4
451,1.0,4
452,1.0,20
453,1.0,8
454,-1.0,10
455,1.0,4
456,1.0,12
457,1.0,8
458,1.0,8
459,-1.0,6
460,-1.0,34
461,1.0,12
462,1.0,20
463,1.0,8
464,1.0,4
465,1.0,8
466,-1.0,18
467,1.0,8
468,1.0,4
469,1.0,8
470,1.0,4
471,1.0,8
472,1.0,12
473,1.0,8
474,1.0,4
475,1.0,12
476,1.0,4
477,-1.0,10
478,1.0,4
479,1.0,12
480,1.0,20
481,1.0,4
482,1.0,4
483,1.0,4
484,-1.0,6
485,1.0,28
486,-1.0,6
487,1.0,4
488,1.0,16
489,1.0,12
490,1.0,28
491,1.0,8
492,1.0,16
493,1.0,16
494,1.0,8
495,1.0,8
496,1.0,8
497,1.0,8
498,1.0,8
499,1.0,8
500,1.0,8
501,1.0,4
502,-1.0,14
503,1.0,4
504,1.0,4
505,1.0,4
506,1.0,16
507,-1.0,18
508,1.0,8
509,1.0,4
510,1.0,4
511,-1.0,10
512,-1.0,6
513,-1.0,18
514,1.0,16
515,1.0,32
516,1.0,8
517,1.0,16
518,-1.0,10
519,1.0,4
520,1.0,4
521,1.0,12
522,1.0,8
523,-1.0,10
524,1.0,20
525,1.0,8
526,-1.0,6
527,1.0,24
528,1.0,28
529,1.0,8
530,1.0,4
531,1.0,24
532,1.0,36
533,1.0,4
534,1.0,4
535,1.0,4
536,1.0,40
537,1.0,16
538,1.0,20
539,1.0,8
540,1.0,8
541,1.0,16
542,-1.0,22
543,1.0,24
544,1.0,12
545,-1.0,10
546,1.0,36
547,1.0,4
548,1.0,12
549,-1.0,30
550,1.0,8
551,-1.0,10
552,1.0,4
553,-1.0,10
554,1.0,8
555,-1.0,14
556,1.0,12
557,1.0,8
558,1.0,4
559,-1.0,14
560,1.0,8
561,1.0,20
562,1.0,24
563,1.0,16
564,1.0,4
565,1.0,8
566,1.0,16
567,1.0,8
568,1.0,8
569,1.0,12
570,1.0,32
571,1.0,16
572,1.0,36
573,1.0,4
574,1.0,16
575,1.0,24
576,1.0,4
577,1.0,4
578,-1.0,6
579,1.0,24
580,1.0,4
581,-1.0,14
582,1.0,4
583,1.0,60
584,1.0,20
585,1.0,4
586,1.0,40
587,1.0,4
588,-1.0,22
589,1.0,12
590,1.0,12
591,-1.0,22
592,1.0,8
593,1.0,8
594,1.0,8
595,1.0,4
596,1.0,12
597,1.0,8
598,1.0,8
599,1.0,4
600,1.0,4
601,1.0,12
602,1.0,8
603,1.0,8
604,-1.0,6
605,1.0,8
606,-1.0,14
607,1.0,8
608,1.0,8
609,1.0,4
610,1.0,4
611,1.0,20
612,-1.0,14
613,1.0,20
614,1.0,8
615,-1.0,38
616,-1.0,6
617,-1.0,26
618,1.0,4
619,1.0,12
620,1.0,24
621,1.0,4
622,-1.0,42
623,1.0,8
624,1.0,16
625,-1.0,14
626,1.0,12
627,1.0,8
628,1.0,4
629,1.0,4
630,1.0,20
631,1.0,28
632,1.0,16
