episode,reward,steps
1,1.0,44
2,1.0,12
3,1.0,48
4,1.0,20
5,1.0,24
6,1.0,28
7,-1.0,38
8,1.0,8
9,1.0,24
10,1.0,28
11,-1.0,10
12,-1.0,6
13,1.0,4
14,-1.0,22
15,1.0,32
16,-1.0,22
17,-1.0,14
18,1.0,20
19,1.0,4
20,-1.0,14
21,1.0,24
22,1.0,4
23,1.0,24
24,1.0,32
25,1.0,12
26,1.0,16
27,1.0,8
28,-1.0,26
29,1.0,20
30,1.0,8
31,-1.0,14
32,1.0,84
33,1.0,16
34,1.0,8
35,-1.0,18
36,1.0,20
37,1.0,16
38,-1.0,58
39,1.0,24
40,-1.0,6
41,-1.0,50
42,1.0,8
43,-1.0,10
44,-1.0,18
45,1.0,12
46,-1.0,22
47,-1.0,26
48,1.0,16
49,-1.0,78
50,1.0,40
51,-1.0,14
52,1.0,12
53,1.0,24
54,1.0,28
55,1.0,32
56,-1.0,26
57,-1.0,38
58,1.0,64
59,1.0,12
60,1.0,40
61,1.0,20
62,-1.0,22
63,1.0,8
64,1.0,12
65,-1.0,18
66,-1.0,18
67,1.0,4
68,1.0,40
69,1.0,16
70,-1.0,26
71,-1.0,26
72,1.0,20
73,1.0,28
74,1.0,28
75,1.0,16
76,-1.0,22
77,1.0,4
78,1.0,12
79,-1.0,34
80,-1.0,22
81,-1.0,6
82,-1.0,18
83,-1.0,14
84,1.0,16
85,-1.0,70
86,1.0,68
87,1.0,24
88,1.0,28
89,1.0,12
90,1.0,8
91,-1.0,14
92,-1.0,14
93,1.0,16
94,-1.0,18
95,1.0,4
96,1.0,20
97,-1.0,46
98,-1.0,50
99,-1.0,30
100,-1.0,26
101,1.0,12
102,-1.0,26
103,-1.0,10
104,1.0,28
105,-1.0,22
106,-1.0,26
107,1.0,20
108,1.0,4
109,-1.0,14
110,1.0,28
111,1.0,8
112,-1.0,34
113,-1.0,14
114,1.0,8
115,-1.0,18
116,1.0,8
117,-1.0,14
118,-1.0,6
119,-1.0,34
