episode,reward,steps
1,-1.0,6
2,-1.0,22
3,1.0,16
4,-1.0,10
5,-1.0,18
6,-1.0,34
7,1.0,12
8,-1.0,14
9,-1.0,6
10,-1.0,14
11,-1.0,10
12,1.0,16
13,1.0,8
14,1.0,36
15,-1.0,22
16,1.0,37
17,-1.0,70
18,1.0,12
19,-1.0,26
20,-1.0,38
21,-1.0,34
22,1.0,4
23,1.0,36
24,1.0,12
25,-1.0,18
26,-1.0,22
27,-1.0,70
28,1.0,44
29,1.0,32
30,-1.0,22
31,1.0,64
32,1.0,4
33,-1.0,10
34,1.0,16
35,1.0,20
36,-1.0,14
37,1.0,4
38,-1.0,14
39,-1.0,18
40,-1.0,18
41,1.0,4
42,1.0,24
43,1.0,24
44,1.0,16
45,-1.0,22
46,1.0,4
47,1.0,4
48,-1.0,6
49,1.0,4
50,-1.0,26
51,1.0,24
52,1.0,8
53,-1.0,98
54,1.0,8
55,1.0,8
56,1.0,8
57,1.0,24
58,-1.0,26
59,1.0,20
60,-1.0,18
61,1.0,20
62,-1.0,26
63,1.0,24
64,-1.0,50
65,1.0,20
66,-1.0,10
67,-1.0,6
68,-1.0,18
69,-1.0,6
70,1.0,28
71,-1.0,10
72,1.0,20
73,-1.0,14
74,1.0,12
75,1.0,8
76,-1.0,30
77,-1.0,30
78,1.0,16
79,1.0,16
80,-1.0,46
81,-1.0,18
82,-1.0,6
83,1.0,4
84,1.0,24
85,-1.0,26
86,-1.0,14
87,1.0,4
88,-1.0,22
89,1.0,20
90,1.0,16
91,-1.0,18
92,-1.0,18
93,1.0,8
94,-1.0,34
95,-1.0,22
96,-1.0,54
97,-1.0,30
98,1.0,12
99,1.0,24
100,1.0,24
101,1.0,8
102,-1.0,30
103,-1.0,6
104,-1.0,6
105,1.0,20
106,1.0,16
107,-1.0,30
108,-1.0,6
109,-1.0,30
110,-1.0,10
111,1.0,12
112,-1.0,46
113,1.0,16
114,-1.0,26
115,-1.0,18
116,1.0,36
117,1.0,8
118,-1.0,10
119,-1.0,6
120,-1.0,18
121,1.0,16
122,1.0,8
123,-1.0,18
124,-1.0,26
125,-1.0,18
126,1.0,40
127,-1.0,10
128,-1.0,30
129,-1.0,38
130,1.0,32
131,-1.0,38
132,1.0,16
133,-1.0,6
134,-1.0,6
135,1.0,4
136,1.0,4
