episode,reward,steps
1,-1.0,8
2,-1.0,52
3,1.0,50
4,1.0,24
5,1.0,38
6,-1.0,10
7,-1.0,22
8,1.0,14
9,-1.0,30
10,-1.0,22
11,1.0,68
12,1.0,28
13,1.0,24
14,-1.0,12
15,-1.0,98
16,-1.0,16
17,-1.0,26
18,-1.0,30
19,1.0,52
20,-1.0,80
21,-1.0,12
22,-1.0,18
23,1.0,12
24,-1.0,4
25,-1.0,30
26,-1.0,70
27,1.0,56
28,1.0,54
29,1.0,144
30,-1.0,56
31,-1.0,22
32,1.0,38
33,1.0,10
34,1.0,70
35,-1.0,62
36,-1.0,16
37,-1.0,14
38,-1.0,38
39,1.0,16
40,1.0,30
41,-1.0,48
42,1.0,16
43,1.0,28
44,-1.0,18
45,1.0,12
46,-1.0,14
47,1.0,84
48,-1.0,16
49,-1.0,24
50,1.0,38
51,-1.0,6
52,1.0,14
53,1.0,12
54,1.0,44
55,1.0,44
56,1.0,8
57,1.0,30
58,1.0,18
59,1.0,16
60,1.0,72
61,-1.0,14
62,1.0,28
63,-1.0,4
64,1.0,26
65,1.0,22
66,1.0,32
67,1.0,80
68,-1.0,6
69,1.0,10
70,-1.0,14
71,-1.0,26
72,-1.0,14
73,1.0,28
74,1.0,40
75,-1.0,10
76,1.0,26
77,1.0,10
78,1.0,30
79,-1.0,40
80,-1.0,14
81,1.0,18
82,-1.0,24
83,-1.0,14
84,-1.0,50
85,1.0,36
86,1.0,138
87,1.0,26
88,1.0,20
89,1.0,56
90,1.0,18
91,-1.0,22
92,1.0,24
93,1.0,56
94,1.0,30
95,1.0,14
96,1.0,34
97,1.0,22
98,-1.0,6
99,1.0,46
100,1.0,28
101,-1.0,4
102,1.0,14
103,1.0,10
104,1.0,34
105,1.0,100
106,1.0,22
107,1.0,28
108,1.0,14
109,-1.0,14
110,1.0,16
111,1.0,46
112,1.0,18
113,1.0,20
114,1.0,28
115,1.0,18
116,1.0,20
117,-1.0,8
118,1.0,18
119,1.0,36
120,1.0,26
121,1.0,12
122,-1.0,6
123,1.0,14
124,1.0,8
125,1.0,58
126,1.0,44
127,1.0,10
128,1.0,36
129,1.0,16
130,-1.0,18
131,1.0,8
132,1.0,20
133,-1.0,14
134,1.0,12
135,1.0,18
136,1.0,22
137,-1.0,8
138,1.0,32
139,-1.0,6
140,-1.0,6
141,1.0,30
142,1.0,22
143,1.0,14
144,1.0,34
145,1.0,12
146,1.0,28
147,-1.0,10
148,1.0,24
149,1.0,30
150,-1.0,60
151,1.0,14
152,1.0,40
153,-1.0,20
154,1.0,38
155,1.0,40
156,-1.0,32
157,-1.0,28
158,1.0,22
159,-1.0,14
160,1.0,48
161,1.0,14
162,1.0,12
163,1.0,14
164,1.0,20
165,1.0,12
166,1.0,40
167,1.0,10
168,1.0,40
169,-1.0,8
170,1.0,22
171,1.0,40
172,1.0,26
173,1.0,10
174,1.0,20
175,1.0,8
176,1.0,12
177,1.0,14
178,1.0,8
179,1.0,18
180,-1.0,14
181,1.0,20
182,-1.0,18
183,1.0,64
184,1.0,26
185,1.0,46
186,-1.0,6
187,1.0,24
188,1.0,30
189,1.0,8
190,-1.0,8
191,1.0,14
192,-1.0,30
193,1.0,12
194,1.0,30
195,1.0,32
196,1.0,8
197,1.0,12
198,1.0,28
199,1.0,16
200,1.0,16
201,1.0,22
202,1.0,8
203,1.0,110
204,1.0,26
205,-1.0,12
206,1.0,20
207,1.0,12
208,1.0,10
209,1.0,16
210,1.0,12
211,-1.0,14
212,1.0,18
213,1.0,22
214,1.0,20
215,1.0,18
216,1.0,10
217,-1.0,4
218,1.0,20
219,1.0,30
220,1.0,14
221,-1.0,14
222,1.0,24
223,1.0,30
224,1.0,18
225,1.0,20
226,1.0,8
227,1.0,8
228,1.0,14
229,1.0,12
230,1.0,32
231,1.0,32
232,1.0,24
233,1.0,68
234,1.0,18
235,1.0,18
236,1.0,16
237,1.0,8
238,1.0,20
239,1.0,16
240,1.0,40
241,1.0,32
242,1.0,36
243,1.0,16
244,-1.0,62
245,1.0,14
246,1.0,16
247,1.0,50
248,-1.0,8
249,1.0,16
250,1.0,16
251,1.0,18
252,1.0,36
253,1.0,10
254,-1.0,10
255,1.0,56
256,1.0,14
257,1.0,32
258,1.0,32
259,-1.0,8
260,1.0,10
261,1.0,14
262,1.0,20
263,1.0,14
264,1.0,8
265,1.0,56
266,1.0,24
267,1.0,14
268,1.0,16
269,1.0,30
270,1.0,86
271,1.0,26
272,-1.0,10
273,1.0,14
274,1.0,22
275,1.0,12
276,1.0,50
277,1.0,14
278,1.0,40
279,1.0,30
280,1.0,52
281,1.0,12
282,1.0,8
283,1.0,12
284,1.0,16
285,1.0,30
286,1.0,12
287,1.0,38
288,1.0,16
289,1.0,22
290,1.0,18
291,1.0,12
292,1.0,24
293,1.0,10
294,1.0,24
295,1.0,22
296,1.0,20
297,-1.0,14
298,1.0,22
299,1.0,22
300,1.0,34
301,1.0,16
302,1.0,14
303,-1.0,12
304,1.0,42
305,1.0,36
306,1.0,10
307,1.0,22
308,1.0,14
309,1.0,12
310,1.0,66
311,1.0,32
312,1.0,16
313,1.0,16
314,1.0,22
315,1.0,22
316,1.0,8
317,1.0,8
318,1.0,18
319,1.0,20
320,1.0,12
321,1.0,22
322,1.0,28
323,1.0,24
324,1.0,34
325,1.0,8
326,1.0,18
327,1.0,12
328,1.0,22
329,1.0,18
330,-1.0,14
331,1.0,28
332,1.0,10
333,-1.0,28
334,1.0,14
335,1.0,16
336,1.0,12
337,1.0,18
338,1.0,10
339,-1.0,24
340,1.0,26
341,1.0,22
342,1.0,32
343,1.0,12
344,1.0,16
345,1.0,16
346,1.0,10
347,1.0,14
348,1.0,12
349,1.0,52
350,1.0,24
351,1.0,10
352,1.0,22
353,1.0,14
354,1.0,10
355,1.0,10
356,1.0,12
357,1.0,16
358,1.0,12
359,1.0,12
360,1.0,16
361,1.0,8
362,1.0,10
363,1.0,14
364,1.0,26
365,1.0,18
366,1.0,14
367,1.0,20
368,1.0,14
369,1.0,10
370,1.0,12
371,1.0,12
