episode,reward,steps
1,-1.0,8
2,-1.0,52
3,1.0,22
4,1.0,38
5,1.0,78
6,-1.0,6
7,1.0,26
8,1.0,40
9,1.0,30
10,1.0,16
11,1.0,14
12,-1.0,42
13,-1.0,44
14,-1.0,54
15,1.0,80
16,-1.0,46
17,-1.0,14
18,-1.0,70
19,-1.0,76
20,-1.0,24
21,1.0,14
22,1.0,82
23,1.0,46
24,-1.0,24
25,-1.0,8
26,1.0,48
27,1.0,36
28,1.0,12
29,1.0,38
30,1.0,22
31,1.0,54
32,-1.0,66
33,-1.0,18
34,1.0,78
35,1.0,38
36,1.0,30
37,-1.0,20
38,-1.0,158
39,1.0,18
40,-1.0,12
41,-1.0,12
42,-1.0,10
43,1.0,38
44,1.0,28
45,1.0,100
46,1.0,30
47,1.0,30
48,1.0,56
49,-1.0,16
50,-1.0,20
51,1.0,16
52,-1.0,12
53,-1.0,28
54,-1.0,22
55,-1.0,64
56,-1.0,34
57,-1.0,12
58,1.0,12
59,-1.0,18
60,-1.0,42
61,1.0,58
62,-1.0,32
63,1.0,26
64,1.0,10
65,1.0,54
66,1.0,54
67,-1.0,12
68,1.0,152
69,1.0,24
70,1.0,52
71,1.0,10
72,-1.0,8
73,1.0,10
74,-1.0,48
75,1.0,44
76,1.0,38
77,-1.0,22
78,-1.0,8
79,-1.0,40
80,1.0,52
81,-1.0,82
82,1.0,94
83,1.0,16
84,1.0,26
85,1.0,56
86,1.0,60
87,1.0,20
88,-1.0,22
89,1.0,20
90,1.0,32
91,1.0,98
92,1.0,10
93,1.0,26
94,1.0,12
95,1.0,30
96,1.0,52
97,1.0,50
98,1.0,26
99,1.0,16
100,1.0,76
101,-1.0,18
102,1.0,60
103,1.0,14
104,1.0,18
105,-1.0,114
106,1.0,16
107,1.0,26
108,1.0,46
109,1.0,24
110,1.0,20
111,-1.0,44
112,1.0,32
113,1.0,36
114,1.0,18
115,1.0,70
116,1.0,106
117,1.0,30
118,-1.0,20
119,1.0,22
120,-1.0,16
121,1.0,102
122,1.0,8
123,1.0,28
124,1.0,42
125,1.0,42
126,1.0,16
127,1.0,92
128,-1.0,12
129,1.0,14
130,1.0,18
131,1.0,18
132,1.0,16
133,1.0,34
134,1.0,24
135,1.0,24
136,1.0,30
137,1.0,20
138,-1.0,10
139,1.0,10
140,1.0,20
141,1.0,30
142,1.0,52
143,1.0,24
144,1.0,28
145,1.0,16
146,1.0,10
147,1.0,16
148,1.0,18
149,1.0,12
150,1.0,18
151,-1.0,8
152,1.0,20
153,1.0,28
154,1.0,20
155,1.0,24
156,1.0,16
157,1.0,26
158,1.0,10
159,1.0,10
160,1.0,10
161,1.0,20
162,1.0,32
163,1.0,16
164,1.0,32
165,1.0,16
166,1.0,10
167,1.0,58
168,1.0,16
169,1.0,18
170,1.0,8
171,1.0,20
172,1.0,22
173,1.0,28
174,1.0,42
175,1.0,44
176,1.0,22
177,1.0,10
178,1.0,8
179,1.0,10
180,1.0,38
181,1.0,20
182,-1.0,6
183,1.0,22
184,-1.0,10
185,-1.0,16
186,1.0,16
187,1.0,38
188,1.0,28
189,1.0,14
190,1.0,10
191,1.0,26
192,-1.0,4
193,1.0,8
194,1.0,20
195,-1.0,28
196,1.0,24
197,1.0,12
198,1.0,18
199,1.0,8
200,1.0,16
201,1.0,8
202,-1.0,10
203,1.0,14
204,1.0,40
205,1.0,22
206,1.0,18
207,1.0,16
208,1.0,16
209,1.0,10
210,1.0,36
211,1.0,20
212,1.0,18
213,1.0,20
214,1.0,16
215,1.0,18
216,1.0,18
217,1.0,18
218,1.0,16
219,1.0,18
220,1.0,14
221,1.0,16
222,-1.0,6
223,1.0,26
224,-1.0,14
225,-1.0,6
226,1.0,24
227,-1.0,18
228,1.0,16
229,1.0,26
230,1.0,40
231,1.0,16
232,1.0,22
233,1.0,10
234,1.0,24
235,1.0,18
236,-1.0,8
237,1.0,24
238,1.0,10
239,1.0,32
240,1.0,18
241,1.0,18
242,1.0,22
243,-1.0,10
244,1.0,12
245,-1.0,4
246,1.0,22
247,1.0,22
248,1.0,16
249,1.0,14
250,1.0,16
251,-1.0,4
252,1.0,16
253,1.0,20
254,1.0,70
255,1.0,42
256,-1.0,4
257,1.0,10
258,1.0,12
259,1.0,8
260,-1.0,40
261,1.0,18
262,1.0,24
263,1.0,14
264,1.0,24
265,1.0,10
266,1.0,16
267,-1.0,6
268,1.0,10
269,-1.0,14
270,1.0,32
271,1.0,30
272,1.0,18
273,1.0,20
274,1.0,18
275,1.0,32
276,1.0,8
277,1.0,8
278,-1.0,10
279,1.0,12
280,1.0,36
281,1.0,34
282,1.0,14
283,-1.0,8
284,1.0,14
285,1.0,18
286,-1.0,10
287,1.0,14
288,1.0,16
289,1.0,24
290,-1.0,12
291,1.0,32
292,-1.0,12
293,1.0,14
294,1.0,20
295,-1.0,14
296,1.0,20
297,1.0,24
298,1.0,16
299,1.0,12
300,1.0,18
301,1.0,30
302,1.0,24
303,1.0,32
304,1.0,10
305,1.0,16
306,1.0,34
307,1.0,18
308,1.0,14
309,1.0,10
310,1.0,8
311,-1.0,20
312,1.0,18
313,1.0,12
314,1.0,8
315,1.0,12
316,1.0,10
317,-1.0,6
318,1.0,10
319,1.0,12
320,1.0,10
321,1.0,20
322,-1.0,8
323,1.0,14
324,1.0,16
325,1.0,18
326,1.0,16
327,1.0,14
328,1.0,14
329,-1.0,10
330,1.0,10
331,1.0,26
332,1.0,8
333,-1.0,6
334,-1.0,8
335,1.0,20
336,1.0,14
337,1.0,34
338,1.0,10
339,1.0,10
340,1.0,10
341,1.0,14
342,1.0,16
343,1.0,8
344,1.0,14
345,1.0,10
346,1.0,30
347,1.0,10
348,-1.0,10
349,1.0,10
350,1.0,8
351,1.0,14
352,1.0,18
353,1.0,12
354,1.0,8
355,1.0,28
356,1.0,14
357,1.0,12
358,1.0,14
359,1.0,10
360,1.0,30
361,1.0,24
362,1.0,16
363,1.0,14
364,1.0,10
365,1.0,10
366,1.0,22
367,1.0,20
368,1.0,22
369,1.0,12
370,1.0,20
371,1.0,20
