episode,reward,steps
1,-1.0,8
2,-1.0,52
3,1.0,50
4,1.0,24
5,1.0,38
6,-1.0,10
7,-1.0,40
8,-1.0,26
9,-1.0,38
10,-1.0,18
11,1.0,134
12,1.0,30
13,-1.0,38
14,1.0,42
15,-1.0,42
16,1.0,14
17,1.0,20
18,-1.0,40
19,-1.0,28
20,1.0,38
21,1.0,92
22,-1.0,108
23,1.0,34
24,-1.0,42
25,1.0,156
26,-1.0,28
27,1.0,34
28,1.0,20
29,-1.0,12
30,-1.0,34
31,1.0,28
32,-1.0,4
33,1.0,24
34,1.0,26
35,-1.0,80
36,1.0,30
37,-1.0,14
38,1.0,62
39,-1.0,8
40,1.0,14
41,1.0,70
42,-1.0,10
43,-1.0,52
44,1.0,14
45,-1.0,44
46,1.0,22
47,-1.0,28
48,-1.0,14
49,1.0,26
50,1.0,166
51,1.0,48
52,-1.0,22
53,1.0,40
54,1.0,66
55,1.0,14
56,-1.0,34
57,-1.0,98
58,-1.0,162
59,1.0,38
60,1.0,54
61,1.0,30
62,1.0,40
63,-1.0,16
64,1.0,44
65,1.0,36
66,1.0,26
67,1.0,28
68,1.0,80
69,-1.0,6
70,1.0,140
71,1.0,98
72,1.0,52
73,1.0,22
74,-1.0,36
75,1.0,60
76,1.0,24
77,1.0,22
78,1.0,128
79,1.0,70
80,-1.0,66
81,1.0,152
82,1.0,34
83,1.0,22
84,1.0,50
85,-1.0,8
86,-1.0,120
87,1.0,140
88,1.0,110
89,-1.0,10
90,-1.0,74
91,1.0,14
92,1.0,170
93,0.0,200
94,1.0,180
95,1.0,38
96,1.0,18
97,1.0,42
98,1.0,74
99,1.0,58
100,1.0,112
101,1.0,26
102,-1.0,16
103,1.0,164
104,0.0,200
105,1.0,80
106,0.0,200
107,1.0,114
108,1.0,68
109,1.0,172
110,0.0,200
111,1.0,24
112,1.0,12
113,1.0,86
114,1.0,62
115,1.0,84
116,1.0,16
117,-1.0,4
118,1.0,78
119,1.0,132
120,0.0,200
121,0.0,200
122,0.0,200
123,1.0,82
124,0.0,200
125,0.0,200
126,1.0,100
127,-1.0,6
128,1.0,34
129,1.0,44
130,0.0,200
131,0.0,200
132,0.0,200
133,0.0,200
134,1.0,8
135,1.0,82
136,0.0,200
137,1.0,50
138,0.0,200
139,1.0,16
140,0.0,200
141,0.0,200
142,1.0,104
143,0.0,200
144,0.0,200
145,0.0,200
146,0.0,200
147,1.0,118
148,1.0,24
149,0.0,200
150,1.0,92
151,0.0,200
152,0.0,200
153,0.0,200
154,1.0,58
155,1.0,62
156,1.0,52
157,1.0,114
158,1.0,84
159,1.0,36
160,1.0,90
161,1.0,24
162,1.0,62
163,1.0,44
164,1.0,16
165,1.0,14
166,1.0,60
167,0.0,200
168,1.0,28
169,1.0,76
170,1.0,132
171,1.0,54
172,0.0,200
173,1.0,56
174,1.0,144
175,1.0,28
176,1.0,72
177,1.0,102
178,1.0,56
179,1.0,78
180,1.0,18
181,1.0,18
182,1.0,58
183,1.0,74
184,1.0,86
185,1.0,46
186,1.0,18
187,1.0,16
188,1.0,54
189,-1.0,12
190,1.0,52
191,1.0,74
192,-1.0,54
193,1.0,8
194,-1.0,24
195,-1.0,14
196,1.0,22
197,-1.0,6
198,-1.0,10
199,-1.0,10
200,-1.0,34
201,1.0,20
202,-1.0,68
203,-1.0,24
204,0.0,200
205,-1.0,10
206,-1.0,24
207,-1.0,92
208,-1.0,74
209,1.0,64
210,-1.0,88
211,1.0,72
212,1.0,16
213,-1.0,12
214,-1.0,64
215,-1.0,24
216,-1.0,32
217,-1.0,44
218,-1.0,22
219,1.0,28
220,-1.0,42
221,1.0,22
222,1.0,54
223,1.0,92
224,-1.0,16
225,-1.0,156
226,-1.0,102
227,1.0,28
228,0.0,200
229,1.0,24
230,1.0,80
231,1.0,90
232,1.0,10
233,1.0,192
234,1.0,114
235,1.0,74
236,0.0,200
237,1.0,138
238,-1.0,58
239,1.0,14
240,1.0,60
241,0.0,200
242,0.0,200
243,1.0,16
244,0.0,200
245,1.0,92
246,1.0,164
247,1.0,18
248,1.0,72
249,1.0,120
250,0.0,200
251,1.0,20
252,1.0,144
253,0.0,200
254,0.0,200
255,1.0,86
256,0.0,200
257,-1.0,194
258,0.0,200
259,0.0,200
260,0.0,200
261,0.0,200
262,0.0,200
263,0.0,200
264,0.0,200
265,0.0,200
266,0.0,200
267,0.0,200
268,0.0,200
269,0.0,200
270,0.0,200
271,0.0,200
272,0.0,200
273,0.0,200
274,0.0,200
275,0.0,200
276,0.0,200
277,0.0,200
278,0.0,200
279,0.0,200
280,1.0,158
281,0.0,200
282,0.0,200
283,0.0,200
284,0.0,200
285,0.0,200
286,0.0,200
287,0.0,200
288,0.0,200
289,0.0,200
290,1.0,68
291,0.0,200
292,0.0,200
293,0.0,200
294,0.0,200
295,0.0,200
296,0.0,200
297,0.0,200
298,0.0,200
299,0.0,200
300,0.0,200
301,0.0,200
302,0.0,200
303,0.0,200
304,0.0,200
305,0.0,200
306,0.0,200
307,0.0,200
308,0.0,200
309,0.0,200
310,0.0,200
311,0.0,200
312,0.0,200
313,0.0,200
314,0.0,200
315,0.0,200
316,0.0,200
317,0.0,200
318,0.0,200
319,0.0,200
320,0.0,200
321,0.0,200
322,0.0,200
323,0.0,200
324,0.0,200
325,0.0,200
326,0.0,200
327,0.0,200
328,0.0,200
329,0.0,200
330,0.0,200
331,0.0,200
332,0.0,200
333,0.0,200
334,0.0,200
335,0.0,200
336,0.0,200
337,0.0,200
338,0.0,200
339,0.0,200
340,0.0,200
341,0.0,200
342,0.0,200
343,0.0,200
344,0.0,200
345,0.0,200
346,0.0,200
347,0.0,200
348,0.0,200
349,0.0,200
350,0.0,200
351,0.0,200
352,0.0,200
353,0.0,200
354,0.0,200
355,0.0,200
356,0.0,200
357,0.0,200
358,0.0,200
359,0.0,200
360,0.0,200
361,0.0,200
362,0.0,200
363,0.0,200
364,0.0,200
365,0.0,200
366,0.0,200
367,0.0,200
368,0.0,200
369,0.0,200
370,0.0,200
371,0.0,200
372,0.0,200
373,1.0,108
