episode,reward,steps
1,1.0,12
2,1.0,12
3,1.0,12
4,1.0,8
5,1.0,12
6,1.0,12
7,1.0,18
8,1.0,10
9,1.0,10
10,1.0,18
11,1.0,8
12,1.0,10
13,1.0,10
14,1.0,8
15,1.0,10
16,1.0,12
17,1.0,10
18,1.0,10
19,1.0,10
20,1.0,16
21,1.0,12
22,1.0,10
23,1.0,8
24,1.0,18
25,1.0,8
26,1.0,16
27,1.0,10
28,1.0,12
29,1.0,12
30,1.0,10
31,1.0,12
32,1.0,10
33,1.0,12
34,1.0,16
35,1.0,8
36,1.0,12
37,1.0,10
38,1.0,8
39,1.0,12
40,1.0,18
41,1.0,16
42,1.0,10
43,1.0,12
44,1.0,8
45,1.0,18
46,1.0,10
47,1.0,10
48,1.0,10
49,1.0,12
50,1.0,8
51,1.0,8
52,1.0,20
53,1.0,12
54,1.0,10
55,1.0,14
56,1.0,12
57,1.0,8
58,1.0,14
59,1.0,8
60,1.0,8
61,1.0,8
62,1.0,12
63,1.0,10
64,1.0,14
65,1.0,14
66,1.0,16
67,1.0,12
68,1.0,12
69,1.0,10
70,1.0,10
71,1.0,16
72,1.0,14
73,1.0,10
74,1.0,14
75,1.0,8
76,1.0,12
77,1.0,22
78,1.0,14
79,1.0,8
80,1.0,10
81,1.0,12
82,1.0,22
83,1.0,12
84,1.0,14
85,1.0,8
86,1.0,12
87,1.0,18
88,1.0,16
89,1.0,10
90,1.0,10
91,1.0,16
92,1.0,8
93,1.0,16
94,1.0,8
95,1.0,18
96,1.0,10
97,1.0,18
98,1.0,10
99,1.0,12
100,1.0,14
101,1.0,8
102,1.0,18
103,1.0,10
104,1.0,12
105,1.0,8
106,1.0,8
107,1.0,10
108,1.0,14
109,1.0,10
110,1.0,10
111,1.0,18
112,1.0,18
113,1.0,14
114,1.0,14
115,1.0,10
116,1.0,12
117,1.0,14
118,1.0,16
119,1.0,12
120,1.0,12
121,1.0,20
122,1.0,28
123,1.0,8
124,1.0,20
125,1.0,8
126,1.0,12
127,1.0,10
128,1.0,8
129,1.0,10
130,1.0,16
131,1.0,8
132,1.0,20
133,1.0,14
134,1.0,8
135,1.0,8
136,1.0,10
137,1.0,14
138,1.0,12
139,1.0,22
140,1.0,8
141,1.0,14
142,1.0,12
143,1.0,10
144,1.0,8
145,1.0,10
146,1.0,12
147,1.0,10
148,1.0,16
149,1.0,8
150,1.0,12
151,1.0,14
152,1.0,12
153,1.0,8
154,1.0,16
155,1.0,10
156,1.0,10
157,1.0,12
158,1.0,10
159,1.0,14
160,1.0,12
161,1.0,10
162,1.0,8
163,1.0,10
164,1.0,10
165,1.0,20
166,1.0,8
167,1.0,12
168,1.0,10
169,1.0,14
170,1.0,20
171,1.0,12
172,1.0,8
173,1.0,16
174,1.0,12
175,1.0,8
176,1.0,18
177,1.0,14
178,1.0,8
179,1.0,14
180,1.0,18
181,1.0,10
182,1.0,16
183,1.0,8
184,1.0,14
185,1.0,8
186,1.0,12
187,1.0,14
188,1.0,16
189,1.0,10
190,1.0,10
191,1.0,10
192,1.0,8
193,1.0,8
194,1.0,8
195,1.0,20
196,1.0,12
197,1.0,10
198,1.0,8
199,1.0,14
200,1.0,10
201,1.0,14
202,1.0,8
203,1.0,16
204,1.0,8
205,1.0,28
206,1.0,10
207,1.0,8
208,1.0,16
209,1.0,12
210,1.0,22
211,1.0,14
212,1.0,8
213,1.0,10
214,1.0,10
215,1.0,8
216,1.0,12
217,1.0,14
218,1.0,12
219,1.0,16
220,1.0,10
221,1.0,16
222,1.0,10
223,1.0,16
224,1.0,8
225,1.0,10
226,1.0,10
227,1.0,12
228,1.0,14
229,1.0,10
230,1.0,8
231,1.0,10
232,1.0,8
233,1.0,12
234,1.0,12
235,1.0,10
236,1.0,10
237,1.0,10
238,1.0,20
239,1.0,8
240,1.0,18
241,1.0,8
242,1.0,10
243,1.0,22
244,1.0,16
245,1.0,10
246,1.0,14
