episode,reward,steps
1,-1.0,24
2,1.0,38
3,1.0,24
4,-1.0,12
5,-1.0,6
6,-1.0,30
7,-1.0,44
8,1.0,38
9,-1.0,48
10,-1.0,16
11,1.0,10
12,-1.0,134
13,1.0,58
14,-1.0,10
15,1.0,76
16,1.0,60
17,1.0,18
18,1.0,18
19,-1.0,24
20,-1.0,34
21,-1.0,52
22,-1.0,110
23,-1.0,28
24,1.0,34
25,1.0,36
26,1.0,54
27,-1.0,50
28,-1.0,32
29,1.0,18
30,-1.0,6
31,1.0,18
32,-1.0,12
33,1.0,46
34,-1.0,110
35,1.0,8
36,1.0,20
37,1.0,14
38,1.0,24
39,-1.0,22
40,1.0,26
41,-1.0,4
42,1.0,28
43,1.0,22
44,1.0,32
45,1.0,16
46,1.0,38
47,1.0,34
48,1.0,10
49,1.0,30
50,1.0,24
51,1.0,42
52,-1.0,14
53,1.0,18
54,-1.0,10
55,1.0,22
56,1.0,36
57,1.0,36
58,1.0,18
59,1.0,18
60,1.0,16
61,1.0,12
62,-1.0,28
63,1.0,46
64,1.0,16
65,1.0,10
66,1.0,12
67,1.0,10
68,1.0,10
69,1.0,16
70,1.0,30
71,1.0,20
72,1.0,14
73,1.0,28
74,-1.0,38
75,1.0,42
76,1.0,12
77,1.0,14
78,1.0,36
79,1.0,8
80,1.0,16
81,1.0,10
82,1.0,14
83,1.0,14
84,1.0,14
85,1.0,12
86,1.0,12
87,1.0,8
88,1.0,8
89,1.0,12
90,1.0,18
91,1.0,20
92,1.0,8
93,1.0,10
94,1.0,10
95,1.0,8
96,1.0,8
97,1.0,18
98,1.0,12
99,1.0,22
100,1.0,8
101,1.0,10
102,1.0,12
103,1.0,14
104,1.0,10
105,1.0,10
106,1.0,14
107,1.0,10
108,1.0,8
109,1.0,8
110,1.0,8
111,1.0,12
112,1.0,14
113,1.0,14
114,1.0,10
115,1.0,16
116,1.0,12
117,1.0,14
118,1.0,8
119,1.0,8
120,1.0,12
121,1.0,14
122,1.0,14
123,1.0,10
124,1.0,8
125,1.0,8
126,1.0,8
127,1.0,10
128,1.0,8
129,1.0,14
130,1.0,10
131,1.0,10
132,1.0,8
133,1.0,12
134,1.0,8
135,1.0,8
136,1.0,10
137,1.0,10
138,1.0,8
139,1.0,12
140,1.0,10
141,1.0,8
142,1.0,10
143,1.0,8
144,1.0,8
145,1.0,8
146,1.0,8
147,1.0,8
148,1.0,8
149,1.0,12
150,1.0,8
151,1.0,8
152,1.0,10
153,1.0,8
154,1.0,12
155,1.0,10
156,1.0,10
157,1.0,8
158,1.0,12
159,1.0,8
160,1.0,8
161,1.0,8
162,1.0,10
163,1.0,8
164,1.0,8
165,1.0,8
166,1.0,10
167,1.0,10
168,1.0,8
169,1.0,10
170,1.0,8
171,1.0,10
172,1.0,12
173,1.0,10
174,1.0,8
175,1.0,8
176,1.0,10
177,1.0,8
178,1.0,12
179,1.0,8
180,1.0,8
181,1.0,8
182,1.0,8
183,1.0,8
184,1.0,8
185,1.0,10
186,1.0,8
187,1.0,8
188,1.0,8
189,1.0,8
190,1.0,8
191,1.0,8
192,1.0,8
193,1.0,8
194,1.0,8
195,1.0,8
196,1.0,8
197,1.0,8
198,1.0,10
199,1.0,8
200,1.0,8
201,1.0,8
202,1.0,8
203,1.0,8
204,1.0,8
205,1.0,8
206,1.0,8
207,1.0,8
208,1.0,8
209,1.0,8
210,1.0,8
211,1.0,8
212,1.0,8
213,1.0,8
214,1.0,10
215,1.0,8
216,1.0,8
217,1.0,8
218,1.0,8
219,1.0,8
220,1.0,8
221,1.0,8
222,1.0,8
223,1.0,8
224,1.0,8
225,1.0,8
226,1.0,8
227,1.0,8
