episode,reward,steps
1,-1.0,44
2,1.0,32
3,-1.0,4
4,-1.0,18
5,1.0,72
6,1.0,34
7,-1.0,8
8,1.0,32
9,-1.0,42
10,-1.0,70
11,-1.0,36
12,1.0,78
13,-1.0,8
14,1.0,20
15,1.0,64
16,-1.0,26
17,-1.0,66
18,1.0,52
19,1.0,76
20,1.0,24
21,1.0,58
22,-1.0,28
23,1.0,52
24,1.0,20
25,1.0,14
26,1.0,120
27,-1.0,20
28,-1.0,114
29,1.0,22
30,-1.0,18
31,-1.0,6
32,1.0,48
33,1.0,20
34,1.0,32
35,-1.0,88
36,1.0,82
37,-1.0,90
38,-1.0,18
39,-1.0,36
40,-1.0,52
41,1.0,150
42,-1.0,54
43,1.0,94
44,1.0,130
45,1.0,12
46,1.0,32
47,-1.0,12
48,1.0,58
49,1.0,12
50,-1.0,50
51,1.0,48
52,1.0,40
53,1.0,24
54,-1.0,8
55,-1.0,40
56,-1.0,18
57,-1.0,30
58,1.0,14
59,1.0,130
60,-1.0,14
61,1.0,16
62,1.0,36
63,1.0,12
64,1.0,46
65,1.0,24
66,-1.0,20
67,1.0,88
68,-1.0,58
69,-1.0,64
70,-1.0,12
71,-1.0,26
72,-1.0,122
73,-1.0,6
74,1.0,230
75,-1.0,68
76,-1.0,8
77,-1.0,20
78,-1.0,56
79,-1.0,22
80,1.0,32
81,1.0,34
82,1.0,28
83,1.0,26
84,-1.0,8
85,-1.0,28
86,1.0,92
87,-1.0,32
88,-1.0,28
89,1.0,18
90,-1.0,36
91,-1.0,64
92,1.0,24
93,1.0,18
94,-1.0,54
95,1.0,12
96,-1.0,6
97,1.0,14
98,-1.0,6
99,1.0,30
100,-1.0,10
101,-1.0,22
102,-1.0,58
103,1.0,58
104,-1.0,62
105,-1.0,94
106,1.0,14
107,-1.0,12
108,-1.0,68
109,1.0,60
110,-1.0,24
111,-1.0,56
112,-1.0,86
113,1.0,10
114,-1.0,58
115,1.0,100
116,1.0,48
117,1.0,32
118,-1.0,40
119,1.0,136
120,-1.0,36
121,1.0,44
122,1.0,38
123,1.0,114
124,1.0,86
125,1.0,44
126,-1.0,70
127,-1.0,50
128,-1.0,86
129,1.0,30
130,1.0,82
131,-1.0,16
132,-1.0,8
133,-1.0,32
134,1.0,26
135,1.0,22
136,-1.0,10
137,1.0,92
138,-1.0,16
139,-1.0,22
140,1.0,34
141,1.0,18
142,-1.0,44
143,1.0,24
