episode,reward,steps
1,1.0,2
2,-1.0,4
3,-1.0,2
4,-1.0,2
5,-1.0,2
6,-1.0,4
7,1.0,4
8,1.0,4
9,-1.0,2
10,1.0,2
11,-1.0,2
12,-1.0,2
13,-1.0,2
14,1.0,2
15,-1.0,12
16,1.0,6
17,-1.0,2
18,-1.0,2
19,1.0,2
20,-1.0,2
21,1.0,4
22,-1.0,2
23,-1.0,2
24,-1.0,2
25,-1.0,2
26,1.0,4
27,-1.0,4
28,-1.0,2
29,1.0,4
30,1.0,4
31,1.0,2
32,1.0,4
33,-1.0,6
34,-1.0,2
35,-1.0,4
36,-1.0,2
37,1.0,2
38,1.0,2
39,1.0,2
40,-1.0,2
41,-1.0,2
42,1.0,2
43,1.0,4
44,1.0,4
45,-1.0,4
46,1.0,2
47,1.0,2
48,1.0,2
49,1.0,6
50,1.0,6
51,1.0,2
52,1.0,2
53,1.0,2
54,1.0,4
55,1.0,2
56,-1.0,2
57,1.0,2
58,1.0,4
59,-1.0,8
60,1.0,2
61,1.0,2
62,1.0,4
63,1.0,2
64,1.0,2
65,1.0,4
66,1.0,2
67,-1.0,4
68,1.0,2
69,1.0,4
70,1.0,2
71,1.0,4
72,1.0,6
73,1.0,2
74,1.0,2
75,1.0,2
76,1.0,2
77,1.0,2
78,1.0,2
79,1.0,2
80,1.0,2
81,1.0,2
82,1.0,2
83,1.0,2
84,1.0,2
85,1.0,2
86,1.0,4
87,1.0,2
88,1.0,2
89,1.0,2
90,1.0,2
91,1.0,2
92,1.0,4
93,1.0,4
94,1.0,2
95,1.0,4
96,1.0,4
97,1.0,4
98,-1.0,2
99,1.0,2
100,1.0,2
101,1.0,2
102,1.0,2
103,1.0,4
104,1.0,2
105,1.0,2
106,1.0,2
107,1.0,4
108,1.0,4
109,1.0,4
110,1.0,2
111,1.0,4
112,1.0,2
113,1.0,2
114,1.0,4
115,1.0,4
116,1.0,2
117,1.0,4
118,1.0,2
119,1.0,2
120,1.0,4
121,1.0,2
122,1.0,4
123,1.0,2
124,1.0,6
125,1.0,2
126,1.0,4
127,1.0,2
128,1.0,2
129,1.0,2
130,1.0,4
131,1.0,2
132,1.0,4
133,1.0,4
134,1.0,4
135,1.0,2
136,-1.0,2
137,1.0,2
138,1.0,2
139,1.0,4
140,1.0,6
141,1.0,2
142,1.0,6
143,1.0,2
144,1.0,4
145,1.0,2
146,1.0,2
147,1.0,2
148,1.0,10
149,1.0,2
150,1.0,4
151,1.0,2
