episode,reward,steps
1,-1.0,2
2,-1.0,4
3,-1.0,2
4,-1.0,4
5,-1.0,2
6,-1.0,2
7,1.0,4
8,-1.0,2
9,1.0,2
10,-1.0,6
11,1.0,4
12,1.0,8
13,-1.0,2
14,-1.0,2
15,-1.0,4
16,1.0,2
17,1.0,2
18,-1.0,8
19,1.0,4
20,-1.0,4
21,1.0,4
22,-1.0,2
23,1.0,4
24,1.0,8
25,-1.0,6
26,-1.0,2
27,1.0,6
28,1.0,8
29,-1.0,6
30,-1.0,6
31,1.0,2
32,-1.0,2
33,1.0,2
34,-1.0,2
35,-1.0,2
36,-1.0,4
37,1.0,10
38,1.0,2
39,-1.0,2
40,-1.0,2
41,-1.0,4
42,-1.0,2
43,-1.0,2
44,-1.0,2
45,-1.0,14
46,1.0,2
47,1.0,2
48,-1.0,4
49,1.0,2
50,-1.0,2
51,-1.0,2
52,1.0,6
53,-1.0,2
54,-1.0,4
55,-1.0,2
56,1.0,4
57,-1.0,4
58,1.0,4
59,1.0,2
60,1.0,2
61,-1.0,2
62,-1.0,4
63,-1.0,6
64,-1.0,2
65,-1.0,2
66,-1.0,4
67,-1.0,2
68,1.0,2
69,1.0,6
70,1.0,4
71,-1.0,2
72,-1.0,4
73,1.0,10
74,-1.0,4
75,-1.0,4
76,1.0,2
77,1.0,6
78,-1.0,2
79,1.0,2
80,-1.0,2
81,1.0,6
82,-1.0,2
83,-1.0,2
84,-1.0,6
85,1.0,2
86,-1.0,4
87,-1.0,6
88,-1.0,4
89,1.0,2
90,-1.0,4
91,1.0,8
92,-1.0,2
93,-1.0,2
94,1.0,2
95,1.0,4
96,1.0,2
97,-1.0,2
98,1.0,8
99,1.0,14
100,1.0,4
101,1.0,8
102,1.0,2
103,-1.0,4
104,1.0,6
105,1.0,10
106,1.0,2
107,1.0,2
108,1.0,2
109,1.0,2
110,-1.0,2
111,-1.0,4
112,-1.0,2
113,1.0,2
114,-1.0,10
115,-1.0,8
116,1.0,2
117,1.0,2
118,-1.0,12
119,-1.0,4
120,1.0,6
121,1.0,2
122,-1.0,4
123,-1.0,4
124,-1.0,2
125,-1.0,2
126,1.0,4
127,1.0,6
128,-1.0,2
129,-1.0,6
130,-1.0,4
131,1.0,4
132,1.0,4
133,1.0,2
134,1.0,6
135,-1.0,2
136,-1.0,2
137,1.0,6
138,1.0,6
139,1.0,2
140,1.0,6
141,1.0,2
142,1.0,6
143,1.0,10
144,-1.0,2
145,1.0,4
