env,agent,run_dir,seed,checkpoint,side,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,std_action_time_ms,win_rate,draw_rate,loss_rate,termination_rate,truncation_rate,num_games
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed123",123,1000,combined,-1.0,,82.36,,0.03347631679396744,,0.0,0.0,1.0,1.0,0.0,100
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed123",123,1000,p0,-1.0,0.0,97.76,82.26944997992875,0.034781761259585924,0.11293798381450208,0.0,0.0,1.0,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed123",123,1000,p1,-1.0,0.0,66.96,58.047208373874454,0.03217087232834896,0.0012601378868776923,0.0,0.0,1.0,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed123",123,10000,combined,-0.86,,328.15,,0.03263230373176047,,0.07,0.0,0.93,1.0,0.0,100
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed123",123,10000,p0,-0.8,0.6,158.04,107.49548083524256,0.032528212311189936,0.002125642251033152,0.1,0.0,0.9,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed123",123,10000,p1,-0.92,0.3919183588453085,498.26,359.1997110243827,0.032736395152331,0.010749737373686749,0.04,0.0,0.96,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed123",123,100000,combined,-0.86,,294.79,,0.031738245076509325,,0.07,0.0,0.93,1.0,0.0,100
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed123",123,100000,p0,-0.84,0.5425863986500215,178.64,129.30672990993162,0.03204646968304447,0.002577638035599889,0.08,0.0,0.92,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed123",123,100000,p1,-0.88,0.4749736834815167,410.94,339.7788933998108,0.031430020469974174,0.0014897872718744275,0.06,0.0,0.94,1.0,0.0,50
bobail,ddqn,"results/bobail/ddqn/batch_size64_buffer_capacity50000_epsilon_decay_steps100000_epsilon_end0.05_epsilon_start1.0_gamma0.99_hidden_layers[256, 128]_lr0.0005_target_update_freq500_seed42",42,1000,combined,-0.98,,75.87,,0.03181220355830379,,0.01,0.0,0.99,1.0,0.0,100
