episode,reward,steps
1,1.0,9
2,-1.0,8
3,0.0,9
4,1.0,7
5,-1.0,8
6,-1.0,6
7,-1.0,6
8,0.0,9
9,1.0,7
10,1.0,7
11,0.0,9
12,0.0,9
13,1.0,9
14,-1.0,8
15,1.0,9
16,1.0,9
17,-1.0,8
18,-1.0,8
19,-1.0,8
20,-1.0,8
21,1.0,5
22,1.0,7
23,-1.0,6
24,1.0,5
25,0.0,9
26,-1.0,6
27,1.0,9
28,-1.0,8
29,-1.0,8
30,1.0,7
31,1.0,7
32,-1.0,8
33,1.0,9
34,1.0,7
35,-1.0,6
36,-1.0,8
37,1.0,5
38,1.0,5
39,1.0,5
40,-1.0,8
41,-1.0,6
42,-1.0,8
43,1.0,7
44,0.0,9
45,-1.0,8
46,1.0,9
47,0.0,9
48,1.0,7
49,1.0,9
50,1.0,9
51,1.0,7
52,1.0,5
53,-1.0,8
54,0.0,9
55,-1.0,6
56,1.0,5
57,-1.0,8
58,1.0,7
59,1.0,7
60,1.0,9
61,-1.0,8
62,1.0,5
63,1.0,9
64,1.0,9
65,-1.0,8
66,1.0,5
67,1.0,7
68,1.0,7
69,1.0,7
70,-1.0,8
71,1.0,7
72,1.0,7
73,-1.0,8
74,1.0,7
75,1.0,7
76,-1.0,6
77,1.0,9
78,-1.0,6
79,-1.0,8
80,-1.0,8
81,1.0,9
82,0.0,9
83,1.0,5
84,-1.0,6
85,1.0,9
86,1.0,9
87,1.0,9
88,-1.0,8
89,1.0,9
90,-1.0,8
91,1.0,7
92,1.0,9
93,1.0,9
94,-1.0,6
95,1.0,7
96,-1.0,6
97,-1.0,8
98,-1.0,8
99,1.0,7
100,-1.0,8
101,-1.0,8
102,1.0,7
103,1.0,9
104,0.0,9
105,1.0,5
106,0.0,9
107,1.0,7
108,1.0,9
109,1.0,9
110,-1.0,6
111,1.0,9
112,-1.0,8
113,1.0,7
114,1.0,7
115,1.0,9
116,-1.0,8
117,1.0,9
118,0.0,9
119,0.0,9
120,1.0,7
121,-1.0,8
122,-1.0,6
123,0.0,9
124,1.0,5
125,0.0,9
126,-1.0,6
127,1.0,7
128,1.0,9
129,1.0,9
130,1.0,7
131,1.0,7
132,-1.0,8
133,1.0,7
134,1.0,9
135,1.0,7
136,0.0,9
137,-1.0,8
138,1.0,7
139,1.0,7
140,-1.0,8
141,1.0,9
142,-1.0,8
143,1.0,7
144,-1.0,6
145,1.0,7
146,1.0,9
147,-1.0,6
148,-1.0,6
149,-1.0,8
150,-1.0,6
151,-1.0,8
152,-1.0,8
153,1.0,9
154,-1.0,8
155,1.0,9
156,1.0,9
157,-1.0,6
158,-1.0,8
159,-1.0,6
160,-1.0,8
161,1.0,7
162,1.0,7
163,-1.0,8
164,1.0,9
165,1.0,5
166,0.0,9
167,1.0,9
168,1.0,7
169,1.0,9
170,1.0,7
171,1.0,9
172,1.0,7
173,0.0,9
174,1.0,7
175,0.0,9
176,1.0,5
177,1.0,9
178,1.0,9
179,1.0,9
180,-1.0,6
181,-1.0,6
182,1.0,9
183,0.0,9
184,0.0,9
185,1.0,7
186,1.0,9
187,1.0,7
188,1.0,5
189,-1.0,8
190,-1.0,8
191,1.0,9
192,-1.0,6
193,1.0,9
194,1.0,5
