episode,reward,steps
1,1.0,9
2,1.0,7
3,1.0,5
4,1.0,9
5,-1.0,8
6,-1.0,8
7,-1.0,6
8,0.0,9
9,1.0,7
10,1.0,9
11,-1.0,6
12,1.0,9
13,-1.0,8
14,1.0,7
15,1.0,7
16,0.0,9
17,1.0,7
18,1.0,9
19,-1.0,8
20,-1.0,6
21,1.0,7
22,1.0,9
23,1.0,5
24,1.0,9
25,1.0,5
26,-1.0,6
27,1.0,7
28,1.0,9
29,0.0,9
30,1.0,9
31,1.0,9
32,-1.0,8
33,1.0,9
34,-1.0,6
35,1.0,9
36,1.0,7
37,1.0,7
38,1.0,7
39,0.0,9
40,0.0,9
41,-1.0,6
42,1.0,7
43,0.0,9
44,1.0,9
45,-1.0,8
46,0.0,9
47,1.0,7
48,-1.0,8
49,1.0,7
50,1.0,7
51,1.0,5
52,1.0,7
53,-1.0,8
54,-1.0,8
55,0.0,9
56,-1.0,8
57,-1.0,8
58,-1.0,8
59,1.0,7
60,-1.0,6
61,-1.0,8
62,1.0,7
63,1.0,7
64,1.0,7
65,1.0,7
66,1.0,7
67,-1.0,8
68,-1.0,8
69,1.0,7
70,1.0,5
71,1.0,7
72,1.0,7
73,-1.0,8
74,0.0,9
75,1.0,9
76,-1.0,8
77,1.0,9
78,1.0,7
79,1.0,9
80,1.0,9
81,-1.0,8
82,1.0,9
83,1.0,5
84,1.0,9
85,-1.0,8
86,1.0,7
87,-1.0,8
88,1.0,9
89,1.0,9
90,1.0,7
91,-1.0,8
92,1.0,5
93,1.0,9
94,-1.0,6
95,1.0,7
96,1.0,7
97,1.0,9
98,1.0,7
99,1.0,5
100,1.0,5
101,0.0,9
102,-1.0,6
103,1.0,9
104,0.0,9
105,1.0,7
106,1.0,7
107,0.0,9
108,1.0,9
109,1.0,5
110,0.0,9
111,-1.0,8
112,1.0,5
113,1.0,9
114,1.0,7
115,-1.0,8
116,1.0,9
117,1.0,9
118,1.0,9
119,1.0,9
120,1.0,7
121,-1.0,8
122,0.0,9
123,1.0,9
124,0.0,9
125,0.0,9
126,0.0,9
127,1.0,7
128,-1.0,8
129,1.0,9
130,1.0,7
131,-1.0,8
132,0.0,9
133,1.0,9
134,1.0,5
135,1.0,9
136,-1.0,8
137,1.0,9
138,1.0,9
139,1.0,9
140,1.0,5
141,1.0,7
142,1.0,9
143,1.0,7
144,1.0,7
145,1.0,7
146,1.0,5
147,0.0,9
148,1.0,9
149,1.0,7
150,1.0,5
151,-1.0,8
152,1.0,9
153,1.0,9
154,1.0,5
155,1.0,7
156,1.0,7
157,-1.0,8
158,1.0,5
159,1.0,7
160,1.0,9
161,-1.0,6
162,1.0,9
163,0.0,9
164,-1.0,8
