episode,reward,steps
1,1.0,9
2,1.0,9
3,1.0,5
4,1.0,9
5,1.0,7
6,1.0,9
7,1.0,9
8,-1.0,6
9,1.0,9
10,-1.0,8
11,0.0,9
12,1.0,5
13,1.0,7
14,1.0,9
15,-1.0,8
16,1.0,7
17,1.0,5
18,1.0,7
19,1.0,7
20,1.0,5
21,1.0,9
22,-1.0,8
23,0.0,9
24,0.0,9
25,1.0,9
26,1.0,7
27,0.0,9
28,1.0,7
29,1.0,9
30,1.0,9
31,1.0,9
32,1.0,7
33,1.0,7
34,1.0,5
35,0.0,9
36,-1.0,8
37,1.0,7
38,0.0,9
39,1.0,7
40,1.0,7
41,1.0,7
42,1.0,5
43,1.0,5
44,1.0,5
45,-1.0,8
46,1.0,7
47,1.0,7
48,0.0,9
49,-1.0,8
50,1.0,7
51,0.0,9
52,-1.0,8
53,-1.0,8
54,-1.0,8
55,-1.0,8
56,0.0,9
57,0.0,9
58,1.0,7
59,-1.0,8
60,-1.0,8
61,-1.0,8
62,0.0,9
63,-1.0,8
64,1.0,9
65,1.0,7
66,1.0,7
67,1.0,9
68,1.0,5
69,0.0,9
70,1.0,9
71,1.0,7
72,1.0,5
73,1.0,7
74,1.0,7
75,-1.0,6
76,1.0,7
77,-1.0,6
78,1.0,7
79,1.0,9
80,1.0,7
81,1.0,7
82,1.0,5
83,1.0,7
84,1.0,7
85,-1.0,8
86,1.0,9
87,-1.0,6
88,1.0,9
89,1.0,7
90,0.0,9
91,-1.0,8
92,-1.0,8
93,1.0,9
94,1.0,9
95,1.0,5
96,0.0,9
97,-1.0,8
98,-1.0,6
99,1.0,7
100,1.0,9
101,1.0,9
102,1.0,9
103,1.0,9
104,1.0,7
105,1.0,7
106,1.0,9
107,1.0,5
108,1.0,7
109,1.0,7
110,1.0,9
111,1.0,7
112,-1.0,6
113,1.0,7
114,-1.0,8
115,1.0,9
116,1.0,9
117,1.0,7
118,1.0,9
119,-1.0,8
120,0.0,9
121,1.0,9
122,1.0,9
123,1.0,7
124,1.0,5
125,-1.0,8
126,-1.0,8
127,1.0,5
128,1.0,9
129,1.0,5
130,1.0,9
131,1.0,9
132,0.0,9
133,1.0,7
134,1.0,7
135,1.0,9
136,1.0,5
137,-1.0,8
138,1.0,9
139,-1.0,8
140,1.0,7
141,-1.0,8
142,-1.0,8
143,1.0,5
144,1.0,5
145,1.0,7
146,1.0,9
147,0.0,9
148,1.0,7
149,1.0,7
150,1.0,7
151,1.0,5
152,0.0,9
153,1.0,9
154,1.0,9
155,0.0,9
156,0.0,9
157,1.0,7
158,1.0,7
159,1.0,9
160,1.0,5
161,1.0,7
162,1.0,9
163,0.0,9
164,1.0,9
165,1.0,5
166,1.0,5
167,0.0,9
168,1.0,5
169,1.0,7
170,1.0,7
171,1.0,5
172,1.0,9
173,1.0,9
174,-1.0,8
175,-1.0,8
176,1.0,9
177,-1.0,8
178,-1.0,6
179,0.0,9
180,0.0,9
181,0.0,9
182,1.0,5
183,-1.0,8
184,1.0,5
185,1.0,7
186,1.0,9
187,-1.0,6
188,-1.0,8
189,1.0,7
190,1.0,7
191,1.0,9
192,1.0,7
193,1.0,7
194,-1.0,6
195,1.0,7
196,1.0,7
197,1.0,5
198,1.0,7
199,-1.0,8
200,1.0,9
201,1.0,7
202,1.0,7
203,1.0,5
204,1.0,7
205,1.0,7
206,1.0,9
207,1.0,9
208,1.0,7
209,1.0,5
210,1.0,7
211,1.0,9
212,1.0,7
213,0.0,9
214,1.0,9
215,1.0,5
216,1.0,5
217,-1.0,6
218,1.0,9
219,1.0,7
220,1.0,9
221,1.0,9
222,1.0,7
223,1.0,5
224,1.0,7
225,1.0,5
226,1.0,7
227,1.0,7
228,-1.0,8
229,1.0,7
230,0.0,9
231,-1.0,6
232,0.0,9
233,1.0,7
234,1.0,7
235,1.0,5
236,0.0,9
237,0.0,9
238,1.0,7
239,1.0,5
240,0.0,9
241,1.0,7
242,1.0,5
243,1.0,7
244,1.0,5
245,-1.0,6
246,1.0,5
247,1.0,5
