episode,reward,steps
1,0.0,9
2,1.0,9
3,-1.0,8
4,1.0,7
5,1.0,7
6,1.0,7
7,1.0,9
8,-1.0,8
9,-1.0,6
10,-1.0,6
11,0.0,9
12,1.0,7
13,-1.0,8
14,0.0,9
15,-1.0,6
16,1.0,7
17,-1.0,8
18,1.0,5
19,1.0,7
20,1.0,9
21,1.0,7
22,-1.0,8
23,1.0,9
24,0.0,9
25,1.0,9
26,0.0,9
27,1.0,5
28,1.0,9
29,-1.0,6
30,1.0,7
31,1.0,9
32,1.0,7
33,1.0,7
34,0.0,9
35,1.0,7
36,1.0,7
37,-1.0,6
38,1.0,7
39,-1.0,8
40,-1.0,8
41,0.0,9
42,1.0,7
43,-1.0,6
44,-1.0,8
45,1.0,7
46,-1.0,8
47,0.0,9
48,1.0,9
49,1.0,5
50,1.0,5
51,-1.0,8
52,1.0,7
53,1.0,7
54,1.0,7
55,1.0,5
56,1.0,9
57,1.0,9
58,1.0,7
59,-1.0,6
60,1.0,5
61,1.0,9
62,1.0,7
63,1.0,5
64,1.0,9
65,-1.0,8
66,-1.0,8
67,1.0,7
68,1.0,7
69,0.0,9
70,-1.0,8
71,1.0,9
72,1.0,7
73,1.0,7
74,1.0,7
75,1.0,9
76,1.0,9
77,-1.0,6
78,1.0,7
79,1.0,7
80,1.0,5
81,-1.0,6
82,-1.0,6
83,-1.0,8
84,-1.0,8
85,-1.0,8
86,-1.0,8
87,0.0,9
88,1.0,9
89,-1.0,8
90,1.0,9
91,-1.0,6
92,1.0,7
93,0.0,9
94,1.0,7
95,1.0,5
96,0.0,9
97,-1.0,8
98,1.0,7
99,-1.0,6
100,1.0,9
101,1.0,9
102,0.0,9
103,0.0,9
104,-1.0,8
105,1.0,7
106,1.0,7
107,1.0,9
108,1.0,5
109,1.0,7
110,1.0,7
111,1.0,9
112,1.0,5
113,-1.0,6
114,-1.0,8
115,-1.0,6
116,0.0,9
117,-1.0,8
118,-1.0,6
119,-1.0,8
120,1.0,7
121,1.0,9
122,-1.0,8
123,-1.0,8
124,-1.0,8
125,-1.0,8
126,1.0,7
127,0.0,9
128,1.0,7
129,1.0,7
130,1.0,5
131,-1.0,8
132,-1.0,8
133,0.0,9
134,1.0,9
135,1.0,5
136,1.0,7
137,0.0,9
138,-1.0,6
139,1.0,9
140,1.0,7
141,1.0,5
142,1.0,7
143,0.0,9
144,1.0,7
145,0.0,9
146,1.0,5
147,1.0,9
148,1.0,5
149,0.0,9
150,1.0,7
151,1.0,7
152,1.0,7
153,0.0,9
154,1.0,9
155,1.0,7
156,1.0,7
157,1.0,7
158,0.0,9
159,1.0,5
160,1.0,9
161,1.0,7
162,-1.0,8
163,0.0,9
164,-1.0,6
165,1.0,9
166,-1.0,6
167,1.0,7
168,-1.0,8
169,1.0,7
170,1.0,9
171,1.0,5
172,-1.0,8
173,1.0,7
174,1.0,7
175,1.0,7
176,-1.0,8
177,1.0,5
178,-1.0,8
179,0.0,9
180,1.0,7
181,0.0,9
182,-1.0,8
183,0.0,9
184,0.0,9
185,1.0,7
186,1.0,5
187,-1.0,6
188,-1.0,8
189,0.0,9
190,1.0,5
191,-1.0,6
192,1.0,7
193,1.0,7
194,0.0,9
195,-1.0,6
196,1.0,7
197,1.0,9
198,0.0,9
199,1.0,7
200,0.0,9
201,1.0,9
202,1.0,9
203,-1.0,8
204,1.0,7
205,-1.0,8
206,-1.0,8
207,1.0,9
208,1.0,5
209,1.0,7
210,1.0,5
211,1.0,9
212,1.0,5
213,1.0,5
214,1.0,5
215,-1.0,6
216,0.0,9
217,1.0,9
218,1.0,9
219,1.0,5
220,1.0,7
221,0.0,9
222,1.0,7
223,1.0,9
224,1.0,9
225,1.0,9
226,1.0,7
227,1.0,7
228,1.0,9
229,-1.0,8
230,1.0,9
231,1.0,7
232,1.0,7
233,1.0,7
234,1.0,7
235,0.0,9
236,1.0,7
237,1.0,5
238,1.0,9
239,1.0,9
240,0.0,9
241,-1.0,8
242,1.0,9
243,1.0,9
244,1.0,7
245,0.0,9
246,1.0,7
247,-1.0,8
248,1.0,9
249,-1.0,6
250,0.0,9
251,0.0,9
252,-1.0,8
253,1.0,7
254,1.0,7
255,0.0,9
256,1.0,9
257,0.0,9
258,-1.0,8
259,-1.0,8
260,0.0,9
261,1.0,7
262,1.0,7
263,1.0,7
264,0.0,9
265,0.0,9
266,1.0,5
267,0.0,9
268,1.0,5
269,1.0,7
270,1.0,9
271,1.0,9
272,1.0,7
273,1.0,7
274,1.0,5
275,0.0,9
276,-1.0,8
277,1.0,9
278,1.0,7
279,1.0,9
280,-1.0,8
281,1.0,9
282,-1.0,6
283,-1.0,8
284,-1.0,8
285,1.0,7
286,1.0,9
287,0.0,9
288,-1.0,8
289,1.0,7
290,0.0,9
291,1.0,7
292,1.0,9
293,1.0,9
294,1.0,7
295,-1.0,8
296,0.0,9
297,-1.0,8
298,1.0,7
299,-1.0,8
300,1.0,9
301,1.0,7
302,0.0,9
303,1.0,5
304,-1.0,6
305,1.0,7
306,1.0,9
307,1.0,7
308,-1.0,8
309,0.0,9
310,-1.0,8
311,1.0,9
312,1.0,7
313,1.0,9
314,-1.0,8
315,1.0,9
316,-1.0,8
317,1.0,9
318,1.0,7
319,0.0,9
320,-1.0,6
321,1.0,9
322,1.0,9
323,1.0,7
324,1.0,9
325,1.0,7
326,-1.0,8
327,1.0,7
328,1.0,7
329,1.0,9
330,1.0,9
331,1.0,9
332,-1.0,8
333,-1.0,8
334,1.0,7
335,0.0,9
336,1.0,5
337,1.0,9
338,1.0,9
339,1.0,9
340,-1.0,8
341,-1.0,6
342,1.0,7
343,-1.0,8
344,-1.0,8
345,-1.0,8
346,1.0,5
347,1.0,7
348,1.0,5
349,-1.0,8
350,1.0,7
351,1.0,5
352,1.0,5
353,1.0,7
354,-1.0,6
355,1.0,7
356,1.0,5
357,-1.0,6
358,-1.0,8
359,0.0,9
360,0.0,9
361,1.0,9
362,1.0,7
363,-1.0,8
364,1.0,7
365,1.0,7
366,1.0,9
367,-1.0,8
368,-1.0,6
369,1.0,7
370,1.0,9
371,0.0,9
372,0.0,9
373,-1.0,6
374,1.0,5
375,0.0,9
376,1.0,5
377,1.0,9
378,1.0,9
379,1.0,7
380,1.0,9
381,1.0,7
382,0.0,9
383,1.0,7
384,1.0,7
385,0.0,9
386,1.0,7
387,1.0,5
388,-1.0,6
389,1.0,9
390,-1.0,8
391,1.0,7
392,-1.0,6
393,1.0,5
394,1.0,5
395,-1.0,8
396,1.0,9
397,1.0,7
398,-1.0,8
399,1.0,9
400,-1.0,8
401,1.0,5
402,1.0,7
403,1.0,7
404,1.0,9
405,1.0,5
406,-1.0,8
407,1.0,7
408,1.0,9
409,1.0,7
410,1.0,5
411,-1.0,8
412,1.0,7
413,1.0,7
414,1.0,7
415,0.0,9
416,1.0,5
417,1.0,9
418,-1.0,8
419,1.0,9
420,1.0,9
421,1.0,7
422,1.0,7
423,1.0,5
