episode,reward,steps
1,1.0,9
2,1.0,7
3,1.0,5
4,1.0,9
5,-1.0,8
6,-1.0,8
7,-1.0,6
8,0.0,9
9,1.0,7
10,1.0,9
11,-1.0,6
12,1.0,9
13,-1.0,8
14,1.0,7
15,1.0,7
16,1.0,7
17,1.0,9
18,-1.0,8
19,-1.0,8
20,1.0,7
21,1.0,7
22,0.0,9
23,0.0,9
24,1.0,5
25,1.0,9
26,1.0,7
27,1.0,5
28,0.0,9
29,1.0,7
30,-1.0,6
31,1.0,9
32,1.0,7
33,-1.0,8
34,-1.0,6
35,1.0,7
36,1.0,9
37,1.0,9
38,1.0,7
39,-1.0,8
40,0.0,9
41,0.0,9
42,1.0,7
43,-1.0,6
44,-1.0,8
45,-1.0,6
46,0.0,9
47,1.0,7
48,-1.0,8
49,1.0,7
50,-1.0,8
51,1.0,5
52,1.0,7
53,1.0,5
54,1.0,5
55,1.0,7
56,1.0,7
57,-1.0,8
58,0.0,9
59,1.0,9
60,-1.0,6
61,0.0,9
62,0.0,9
63,1.0,5
64,-1.0,8
65,-1.0,6
66,1.0,9
67,1.0,7
68,1.0,9
69,-1.0,8
70,1.0,7
71,1.0,9
72,-1.0,6
73,0.0,9
74,1.0,9
75,1.0,9
76,1.0,9
77,1.0,7
78,0.0,9
79,1.0,9
80,1.0,9
81,1.0,9
82,-1.0,6
83,1.0,7
84,1.0,9
85,-1.0,8
86,1.0,9
87,1.0,9
88,1.0,9
89,1.0,7
90,-1.0,8
91,1.0,9
92,-1.0,6
93,1.0,9
94,1.0,9
95,1.0,7
96,1.0,9
97,1.0,9
98,-1.0,8
99,1.0,9
100,-1.0,8
101,-1.0,6
102,0.0,9
103,1.0,9
104,0.0,9
105,1.0,7
106,1.0,9
107,1.0,9
108,0.0,9
109,-1.0,8
110,1.0,7
111,1.0,7
112,1.0,9
113,1.0,7
114,1.0,9
115,-1.0,6
116,-1.0,6
117,1.0,9
118,-1.0,6
119,-1.0,8
120,0.0,9
121,-1.0,8
122,1.0,7
123,0.0,9
124,1.0,7
125,0.0,9
126,1.0,5
127,-1.0,8
128,1.0,9
129,1.0,9
130,-1.0,6
131,-1.0,8
132,-1.0,6
133,-1.0,6
134,-1.0,8
135,1.0,9
136,1.0,7
137,1.0,7
138,1.0,9
139,0.0,9
140,1.0,9
141,1.0,9
142,-1.0,8
143,1.0,9
144,0.0,9
145,1.0,7
146,1.0,5
147,-1.0,8
148,1.0,9
149,1.0,5
150,-1.0,8
151,-1.0,6
152,0.0,9
153,1.0,5
154,-1.0,8
155,1.0,9
156,1.0,9
157,1.0,7
158,1.0,7
159,1.0,7
160,1.0,7
161,1.0,5
162,1.0,9
163,1.0,5
